# EUROSTAT_tipsau20;FREQ;Q;GEO;DE;S_ADJ;NSA;UNIT;CP_MNAC;NA_ITEM;B1GQ;
Quarter;GDP;Percentage Change
2015-Q1;737210.0;
2015-Q2;741980.0;0.647034088
2015-Q3;765670.0;3.192808431
2015-Q4;781320.0;2.043961498
2016-Q1;762950.0;-2.351149337
2016-Q2;779080.0;2.114162134
2016-Q3;788980.0;1.270729578
2016-Q4;803730.0;1.869502395
2017-Q1;798840.0;-0.608413273
2017-Q2;801190.0;0.294176556
2017-Q3;823940.0;2.839526205
2017-Q4;843190.0;2.33633517
2018-Q1;824400.0;-2.228441988
2018-Q2;833720.0;1.130519165
2018-Q3;842900.0;1.101089095
2018-Q4;866840.0;2.840194566
2019-Q1;852620.0;-1.640441143
2019-Q2;852190.0;-0.050432784
2019-Q3;876750.0;2.881986411
2019-Q4;891790.0;1.71542629
2020-Q1;859810.0;-3.586046042
2020-Q2;774060.0;-9.973133599
2020-Q3;853380.0;10.24726765
2020-Q4;880310.0;3.155686798